distinct_bib,subject
3462,"Gay men Family relationships"
8391,Homosexuality
11779,"Staveley Gaylord"
11847,"Hiligaynon language Textbooks for foreign speakers English"
25689,"Gay men Fiction"
32417,"Gay men Drama"
35071,"Perry Gaylord 1938"
38748,Lesbianism
38748,"Lesbians Biography"
38748,"Lesbians in literature"
38748,"Lesbians writings History and criticism"
40594,"Bisexuality Case studies"
49814,"Gay men Poetry"
49814,"Gays writings American"
49814,"Gays writings English"
54595,"Homosexuality in motion pictures"
61471,Homosexuality
62248,"Homosexuality Great Britain"
63100,"Gay liberation movement United States"
73854,"Gay John 1685 1732 Beggars opera"
74993,"Gay poetry"
83870,"Gay John 1685 1732 Beggars opera"
88744,"Gay men United States Biography"
89092,"Gay men Biography"
91440,"Lesbianism Great Britain"
91440,"Lesbians Great Britain Biography"
94419,"Church work with gays"
94419,Homosexuality
94419,"Homosexuality in the Bible"
95993,"Male homosexuality"
95993,"Sex instruction for gay men"
96832,"Gay men in literature"
96832,"Gays writings American History and criticism"
96832,"Homosexuality and literature United States"
102852,"Gay men Biography"
102852,"Homosexuality Male History"
102852,"Male homosexuality History"
102934,"Lesbians United States Biography"
103409,"Gays United States Family relationships"
103409,"Homosexuality United States"
103409,"Parents of gays United States"
104525,"Gay men Great Britain Biography"
104795,"Gays New York State New York Fiction"
109004,"Simpson George Gaylord 1902"
109004,"Simpson George Gaylord 1902 1984"
114288,"Lesbians United States Biography"
119634,"Gay men Fiction"
121697,"Gay men Argentina Buenos Aires Fiction"
126183,"Gays writings History and criticism"
126183,"Homosexuality and literature France"
130376,"Lesbians Biography"
133640,"Homosexuality Europe History"
133640,"Homosexuality Religious aspects Christianity History"
137427,"Gay men United States Fiction"
137977,Homosexuality
140898,"Gay men United States"
142624,"Gay men in literature"
142624,"Gays writings American History and criticism"
142624,"Homosexuality and literature United States"
143692,"Homosexuality Idaho Boise"
152981,"Homosexuality Male Papua New Guinea"
152981,"Male homosexuality Papua New Guinea"
159859,"Bisexuality United States"
159859,"Gay men United States"
171182,"Homosexuality United States"
173786,"Gay men Drama Directories"
173786,"Gays writings Directories"
188430,"Lesbians United States Biography"
191080,"Gay John 1685 1732 Beggars opera"
196251,"Gay men Fiction"
198629,"Lesbianism United States"
198629,"Lesbians Psychology"
203322,Homosexuality
203322,"Homosexuality Psychological aspects"
203322,"Homosexuality Social aspects"
203322,"Homosexuality Statistics"
213446,"Lesbians Alabama Montgomery Fiction"
214483,"Lesbians Fiction"
214525,"Homosexuality United States"
214525,"Homosexuality United States Public opinion"
259066,"Gay men United States"
273876,Homosexuality
300680,"Gay liberation movement United States History"
347706,"Gay teenagers United States Case studies"
350480,Homosexuality
354299,"Gay men Fiction"
354299,"Gays writings"
354299,"Lesbians Fiction"
354299,"Lesbians writings"
363946,"Gay bars Massachusetts Fiction"
370618,"Homosexuality Fiction"
372997,Lesbianism
374489,"Homosexuality Miscellanea"
374489,"Homosexuality Terminology"
374489,"Lesbianism Miscellanea"
374489,"Lesbians United States Psychology"
379628,"Homosexuality and literature Great Britain"
381196,"Gay men Poetry"
382995,"Gay men Drama"
382995,"Gay mens writings English"
385924,"Gay men Fiction"
387587,"Lesbian nuns United States Biography"
388673,"Homosexuality and literature England History"
389781,"Rivers Gayle"
390710,"Lesbian nuns Italy Biography"
390710,"Lesbianism History"
390710,"Lesbians Attitudes"
393327,"Homosexuality Religious aspects Christianity"
396307,"Lesbians Great Britain Biography"
399335,"Gay men New York State Albany Fiction"
400595,"Hansen Gaylen C 1921 Exhibitions"
401660,"Gay men Massachusetts Boston Fiction"
404647,"Gay men England London Biography"
406402,"Male homosexuality Cross cultural studies"
408434,"Gay men Washington D C Biography"
410681,"Abused lesbians United States"
410681,"Lesbians United States Psychology"
412606,"Gays United States Case studies"
413090,"Gay men United States Fiction"
414047,"Gay clergy United States Biography"
414047,"Homosexuality Religious aspects Christianity"
419326,"Gay men United States Interviews"
426158,"Lesbianism Great Britain"
426158,"Lesbians Great Britain Biography"
433868,"Gay liberation movement History"
433868,"Homosexuality History"
434200,"Gays in literature"
434200,"Homosexuality Drama"
437442,"Homosexuality Dictionaries"
442085,"Gay clergy United States Correspondence"
454217,"Lesbians Psychology"
454217,"Lesbians United States Psychology"
457188,"Gay men Great Britain Biography"
463119,"Lesbians Alabama Fiction"
472482,"Homosexuality Psychological aspects"
472482,"Homosexuality Social aspects"
472792,"Bisexuality in marriage United States Case studies"
472792,"Homosexuality United States"
479454,"Gay men History Miscellanea"
479454,"Homosexuality History Miscellanea"
479542,Homosexuality
479542,"Homosexuality Religious aspects"
480888,"Homosexuality Male Indonesia Irian Jaya"
480888,"Male homosexuality Indonesia Irian Jaya"
481635,Bisexuality
481635,Homosexuality
483109,"Gay men Fiction"
486010,"Lesbians Fiction"
488282,"Homosexuality Male"
488282,"Male homosexuality"
489148,"Lesbians Great Britain Biography"
491202,"Gay men Drama"
491202,"Gays writings American"
491202,"Lesbians Drama"
491202,"Lesbians writings American"
491602,"Lesbians Fiction"
493961,"Lesbians in literature"
494833,"Homosexuality Male"
494833,"Male homosexuality"
495591,"Gay men in literature"
495591,"Gays writings History and criticism"
495591,"Homosexuality and literature"
497269,"Gay men England London Fiction"
497841,"Homosexuality in art"
497841,"Homosexuality Social aspects Europe"
497841,"Homosexuality Social aspects Italy"
497849,"Church work with gays"
497849,"Gays United States Biography"
497849,"Homosexuality Religious aspects Christianity"
498357,"Gay men Poetry"
498357,"Gays writings American"
498357,"Lesbians Poetry"
498357,"Lesbians writings American"
500111,"Gay men New York State New York Fiction"
502023,"Gay men Drama"
502557,"Gay men Literary collections"
502557,"Gays writings American"
502557,"Homosexuality United States"
502557,"Lesbians Literary collections"
502557,"Lesbians writings American"
502786,"Church work with gays United States"
502786,"Homosexuality in the Bible"
502786,"Homosexuality Religious aspects Catholic Church"
503707,"Gay men Great Britain Biography"
504221,"Gay men Fiction"
504439,"Lesbians Legal status laws etc Minnesota"
504556,"Gay men California Los Angeles Fiction"
509843,"Homosexuality China"
510482,"Homosexuality History Cross cultural studies"
510482,"Male homosexuality Cross cultural studies"
511645,"Homosexuality Male United States"
511645,"Male homosexuality United States"
512775,"Homosexuality Fiction"
513667,"Gays Biography"
517969,"Homosexuality Fiction"
519980,"Lesbians United States"
521389,"Gay men Fiction"
521389,"Gays writings"
521389,"Homosexuality Fiction"
521389,"Lesbians Fiction"
521389,"Lesbians writings"
521740,"Lesbians Drama"
521740,"Lesbians writings English"
522545,"Homosexuality Fiction"
524153,"Gay teenagers United States Juvenile literature"
524153,Homosexuality
524153,"Homosexuality Juvenile literature"
526524,"Lesbians United States Case studies"
527083,"Lesbianism Moral and ethical aspects United States"
527083,"Lesbianism United States Moral and ethical aspects"
528037,"Bisexuality in marriage United States"
532639,"Lesbians Fiction"
532639,"Lesbians writings American"
536419,"Homosexuality Fiction"
537560,Homosexuality
537560,Lesbianism
538535,"Gays History"
538535,"Homosexuality History"
541185,"Homosexuality Religious aspects Judaism"
541185,"Jewish gays United States"
543107,"Gay teenagers"
543107,"Gay teenagers Services for United States"
543107,"Gay youth"
543107,"Gay youth Services for United States"
543107,"Lesbians Services for United States"
544470,"Gay clergy"
544470,"Homosexuality Religious aspects Catholic Church"
544584,"Gay clergy United States"
544584,"Homosexuality Religious aspects Catholic Church"
544584,"Lesbian nuns United States"
547398,"Gay men United States Biography"
550775,"Lesbians Southern States"
555419,"Gays Mental health"
555419,"Lesbians Mental health"
556015,"Gay men Fiction"
558987,"Homosexuality and literature"
560062,"Gay men in literature"
560062,"Gays writings American History and criticism"
560062,"Gays writings English History and criticism"
560062,"Homosexuality and literature"
560077,"Lesbians Fiction"
560077,"Lesbians writings American"
566401,"Gay military personnel"
566401,"Gays in the military"
566401,"United States Armed Forces Gays"
566600,"Homosexuality Male China History"
566600,"Lesbianism China History"
566600,"Male homosexuality China History"
566669,"Gay men United States"
566669,"Gay men United States Family relationships"
566669,"Gay men United States Psychology"
566851,"Lesbians United States Interviews"
567499,"Lesbians in literature"
567499,"Lesbians writings American History and criticism"
567499,"Lesbians writings History and criticism"
568647,"Lesbians England London Fiction"
569253,Gays
569253,Lesbians
572449,"Gay athletes"
572796,"Gay liberation movement United States History 20th century"
572796,"Gays United States Biography"
573072,"Gay men Drama"
573353,"Gays Family relationships United States Case studies"
573353,"Gays United States Correspondence"
573353,"Gays United States Family relationships Case studies"
577561,"Lesbian couples United States Case studies"
579068,"Gay teenagers South States"
579068,"Homosexuality Religious aspects Christianity"
579068,"Homosexuality Southern States Case studies"
584573,"Lesbian couples United States"
584573,"Lesbianism History"
585496,"Gay men United States Diaries"
587585,"Lesbians United States"
588043,"Gay teenagers United States Miscellanea Juvenile literature"
588043,"Gays United States Miscellanea Juvenile literature"
588043,Homosexuality
589301,"Bisexuality United States"
590780,"Lesbian couples Juvenile fiction"
590780,"Lesbian mothers Juvenile fiction"
590780,"Lesbians Fiction"
593106,"Homosexuality Fiction"
593106,"Homosexuality Juvenile fiction"
595299,"Gay men United States Biography"
595317,"Homosexuality and literature Great Britain"
595414,"Gay couples United States"
595414,"Gay parents United States"
595414,"Gays United States Family relationships"
595438,"Homosexuality in motion pictures"
597673,"Lesbians United States Sexual behavior"
597673,"Sex instructions for lesbians United States"
597704,"Lesbianism Humor"
598631,"Lesbians Fiction"
604923,"Lesbianism United States History 20th century"
604923,"Lesbians United States History 20th century"
611031,"Gay men Fiction"
611031,"Gays writings American"
611031,"Gays writings English"
612613,"Gay men Fiction"
612867,"Lesbians Drama"
612867,"Lesbians writings English"
613273,"Homosexuality in literature"
613568,"Lesbianism Literary collections"
613568,"Lesbians Canada Diaries"
613568,"Lesbians United States Diaries"
613568,"Lesbians writings American"
615836,"Gay men Fiction"
615836,"Gays writings American Pacific Coast U S"
615836,"Lesbians Fiction"
615836,"Lesbians writings American Pacific Coast U S"
616419,"Gay men United States Abuse of"
626340,"Lesbians Fiction"
626507,"Gay politicians United States Biography"
626507,"Homosexuality United States"
629447,"Older lesbians United States"
630734,"Talese Gay Family"
632143,"Bisexuality in literature"
632462,"Gay men Fiction"
633581,"Homosexuality Fiction"
635139,"Gay men United States"
703566,"Gay men Literary collections"
703566,"Gays writings English"
704635,Lesbianism
710512,"Gay John 1685 1732 Criticism and interpretation"
711200,"Gay John 1685 1732 Beggars opera"
711446,"Gayatri Devi Maharani of Jaipur 1919"
711446,"Gayatri Devi Maharani of Jaipur 1919 2009"
712214,Homosexuality
717833,"Gays United States"
717833,"Gays United States Interviews"
726033,"Gay E Jane 1830 1919"
732134,"Gayville S D History"
744076,"Lesbians United States Biography"
746997,"Bourne Edward Gaylord 1860 1908"
769808,"Lesbianism History"
769808,"Lesbians in literature"
769808,"Lesbians Psychology"
789008,"Gay men Psychology Fiction"
943578,"Older gay men England Fiction"
982525,"Lesbians Fiction"
988186,"Gay men Fiction"
1074154,"Homosexuality History Miscellanea"
1074154,"Lesbians History Miscellanea"
1101761,"Gay men United States"
1105806,"Children of gay parents United States Family relationships Case studies"
1105806,"Gay parents United States Case studies"
1107433,"Lesbian mothers United States"
1111471,"Lesbianism United States"
1111471,"Lesbians United States Biography"
1118589,"Gay military personnel United States History 20th century"
1118589,"Gays in the military United States History 20th century"
1118589,"Gays United States History 20th century"
1118589,"United States Armed Forces Gays History 20th century"
1253674,"Gays Drama"
1254423,"Homosexuality Fiction"
1256646,"Gay men Fiction"
1257754,"Gays Religious life"
1257755,"Gay men in literature"
1257755,"Gays writings American History and criticism"
1257755,"Gays writings English History and criticism"
1257755,"Homosexuality and literature History 20th century"
1257966,"Gay men Peru Lima Fiction"
1258190,"Pemberton Gayle"
1262565,"Homosexuality France Paris Fiction"
1264732,"Gay liberation movement United States History"
1264732,"Gay men United States History"
1264732,"Gays United States History"
1264835,"Gay liberation movement United States History"
1264835,"Gays United States"
1270947,"Gay teenagers Drama"
1272940,"Gay men Fiction"
1273847,"Gays Crimes against United States"
1274952,"Gay liberation movement United States History"
1274952,"Homosexuality and education United States"
1274952,"Homosexuality United States"
1276842,"Lesbians United States Biography"
1277263,"Lesbians Minnesota Minneapolis Metropolitan Area Fiction"
1277728,"Lesbians Ontario Toronto Fiction"
1279260,"Gay couples United States Life skills guides"
1279260,"Gay male couples United States Life skills guides"
1279422,"Lesbians Tennessee Biography"
1279566,"Gays United States"
1279566,"Homosexuality United States"
1279782,"Lesbianism United States History 20th century"
1279782,"Lesbians United States History 20th century"
1280287,"Lesbians United States Sexual behavior"
1280582,"Lesbianism United States"
1280591,"Gay men United States Family relationships"
1283230,"Gay men Psychology"
1283230,"Homosexuality Male Psychological aspects"
1283230,"Male homosexuality Psychological aspects"
1284524,"African American gays New York State New York"
1284524,"Gays New York State New York"
1285495,"Lesbians Fiction"
1285523,"Gay men Drama"
1285523,"Gays Drama"
1285523,"Gays writings American"
1285523,"Lesbians Drama"
1288318,"Lesbianism United States Caricatures and cartoons"
1288318,"Lesbians United States Caricatures and cartoons"
1288638,"Gay men Biography"
1289596,"Lesbian couples"
1291398,"Gay military personnel"
1291398,"Gays in the military"
1291398,"United States Armed Forces Gays"
1293460,"Lesbians United States Biography"
1294127,"Closeted gays Fiction"
1294127,"Gay men Fiction"
1294185,"Lesbians Fiction"
1294541,"Gay men Fiction"
1295428,"Children of gay parents California San Francisco"
1295428,"Lesbian couples California San Francisco"
1295428,"Lesbian mothers California San Francisco"
1295428,"Lesbians Family relationships"
1295445,"Lesbians New York State Buffalo History 20th century"
1295445,"Lesbians New York State Buffalo Social conditions"
1295766,"Lesbians Fiction"
1295781,"Lesbian couples United States Biography"
1295817,"Children of gay parents United States"
1295817,"Gay parents United States"
1295890,"Gay men United States Drama"
1296130,"Gay liberation movement United States"
1296130,"Homosexuality Moral and ethical aspects"
1296139,"African American gays Fiction"
1296139,"Gay men United States Fiction"
1296674,"Older lesbians California San Francisco"
1297417,"Lesbians Fiction"
1299922,"Gay men United States"
1299922,"Lesbians United States"
1300259,"Gay men New York State New York Attitudes"
1300259,"Gay men New York State New York Social conditions"
1300259,"Gay men United States Public opinion"
1300259,"Gay Mens Health Crisis Inc"
1300488,"Gay teenagers United States"
1301394,"Gay men Fiction"
1301835,"Lesbians Poetry"
1301835,"Lesbians writings American"
1303155,"Lesbians Fiction"
1303234,"Gay men Fiction"
1304121,"Gay men New York State New York Fiction"
1304520,"Homosexuality Fiction"
1305358,"Lesbians United States Fiction"
1305544,"Gay men Employment United States"
1306341,"Gays Drama"
1306956,"Gay youth Fiction"
1307043,"Lesbians United States Fiction"
1307490,"Gayles Gloria Jean Wade Childhood and youth"
1307577,"African American lesbians Poetry"
1307577,"Lesbians United States Poetry"
1307721,"Gay men New York State Cherry Grove History"
1307721,"Gays New York State Fire Island History"
