distinct_bib,title,deweyClass,itemtype,bibNumber,subject
8391,"On being different what it means to be a homosexual",176,acbk,8391,Homosexuality
8391,"On being different what it means to be a homosexual",176,acbk,8391,"Miller Merle 1919"
8391,"On being different what it means to be a homosexual",176,acbk,8391,"Miller Merle 1919 1986"
11847,"Hiligaynon lessons",499.21,acbk,11847,"Hiligaynon language Textbooks for foreign speakers English"
15871,"Gay Neck the story of a pigeon",,jcbk,15871,"India Fiction"
15871,"Gay Neck the story of a pigeon",,jcbk,15871,"India Juvenile fiction"
15871,"Gay Neck the story of a pigeon",,jcbk,15871,"Pigeons Fiction"
15871,"Gay Neck the story of a pigeon",,jcbk,15871,"Pigeons Juvenile fiction"
15871,"Gay Neck the story of a pigeon",,jcbk,15871,"Pigeons Juvenile literature"
32417,"Coming out a documentary play about gay life liberation in the U S A",812.54,acbk,32417,"Gay men Drama"
38748,"Lesbian images",176,acbk,38748,Lesbianism
38748,"Lesbian images",176,acbk,38748,"Lesbians Biography"
38748,"Lesbian images",176,acbk,38748,"Lesbians in literature"
38748,"Lesbian images",176,acbk,38748,"Lesbians writings History and criticism"
40594,"Bisexual living",176,acbk,40594,"Bisexuality Case studies"
47985,"After the good gay times Asheville summer of 35 a season with F Scott Fitzgerald",,acbk,47985,"Asheville N C Social life and customs"
47985,"After the good gay times Asheville summer of 35 a season with F Scott Fitzgerald",,acbk,47985,"Authors American 20th century Biography"
47985,"After the good gay times Asheville summer of 35 a season with F Scott Fitzgerald",,acbk,47985,"Buttitta Tony Friends and associates"
47985,"After the good gay times Asheville summer of 35 a season with F Scott Fitzgerald",,acbk,47985,"Fitzgerald F Scott Francis Scott 1896 1940 Homes and haunts North Carolina Asheville"
49814,"male muse a gay anthology",821.08,acbk,49814,"American poetry 20th century"
49814,"male muse a gay anthology",821.08,acbk,49814,"English poetry 20th century"
49814,"male muse a gay anthology",821.08,acbk,49814,"Gay men Poetry"
49814,"male muse a gay anthology",821.08,acbk,49814,"Gays writings American"
49814,"male muse a gay anthology",821.08,acbk,49814,"Gays writings English"
54595,"Screening the sexes homosexuality in the movies",792.7,acbk,54595,"Homosexuality in motion pictures"
62248,"love that dared not speak its name a candid history of homosexuality in Britain",176,acbk,62248,"Homosexuality Great Britain"
63100,"gay militants",176,acbk,63100,"Gay liberation movement United States"
69289,"Gay nineties melodramas collection of old fashioned melodramas of the gay nineties period",812.08,acbk,69289,"American drama 19th century"
73854,"Gays Beggars opera its content history influence",782,acbk,73854,"Gay John 1685 1732 Beggars opera"
75263,"Doll repair from the Gay World of Dolls",391.23,acbk,75263,"Dolls Repairing"
88744,"Straight a heterosexual talks about his homosexual past",176,acbk,88744,"Aaron William"
88744,"Straight a heterosexual talks about his homosexual past",176,acbk,88744,"Gay men United States Biography"
94419,"church and the homosexual",261.6,acbk,94419,"Church work with gays"
94419,"church and the homosexual",261.6,acbk,94419,Homosexuality
94419,"church and the homosexual",261.6,acbk,94419,"Homosexuality in the Bible"
95993,"Men loving men a gay sex guide and consciousness book",301.4157,arbk,95993,"Male homosexuality"
95993,"Men loving men a gay sex guide and consciousness book",301.4157,arbk,95993,"Sex instruction for gay men"
95993,"Men loving men a gay sex guide and consciousness book",301.4157,arbk,95993,"Sexual intercourse"
96624,"Enola Gay",940.5426,acbk,96624,"Hiroshima shi Japan History Bombardment 1945"
96832,"Playing the game the homosexual novel in America",813.40935,acbk,96832,"American fiction 20th century History and criticism"
96832,"Playing the game the homosexual novel in America",813.40935,acbk,96832,"Gay men in literature"
96832,"Playing the game the homosexual novel in America",813.40935,acbk,96832,"Gays writings American History and criticism"
96832,"Playing the game the homosexual novel in America",813.40935,acbk,96832,"Homosexuality and literature United States"
102852,"Homosexuals in history a study of ambivalence in society literature and the arts",301.4157,acbk,102852,"Gay men Biography"
102852,"Homosexuals in history a study of ambivalence in society literature and the arts",301.4157,acbk,102852,"Homosexuality Male History"
102852,"Homosexuals in history a study of ambivalence in society literature and the arts",301.4157,acbk,102852,"Male homosexuality History"
103409,"family matter a parents guide to homosexuality",301.427,acbk,103409,"Gays United States Family relationships"
103409,"family matter a parents guide to homosexuality",301.427,acbk,103409,"Homosexuality United States"
103409,"family matter a parents guide to homosexuality",301.427,acbk,103409,"Parents of gays United States"
126183,"Homosexualities and French literature cultural contexts critical texts",840.9353,acbk,126183,"French literature History and criticism"
126183,"Homosexualities and French literature cultural contexts critical texts",840.9353,acbk,126183,"Gays writings History and criticism"
126183,"Homosexualities and French literature cultural contexts critical texts",840.9353,acbk,126183,"Homosexuality and literature France"
133640,"Christianity social tolerance and homosexuality gay people in Western Europe from the beginning of the Christian era to the fourteenth century",301.4157,acbk,133640,"Homosexuality Europe History"
133640,"Christianity social tolerance and homosexuality gay people in Western Europe from the beginning of the Christian era to the fourteenth century",301.4157,acbk,133640,"Homosexuality Religious aspects Christianity History"
137977,"Homosexuality in perspective",301.4157,acbk,137977,Homosexuality
137977,"Homosexuality in perspective",301.4157,acbk,137977,Sex
140898,"States of desire travels in gay America",301.4157,acbk,140898,"Gay men United States"
142624,"homosexual tradition in American poetry",811.00935,acbk,142624,"American poetry History and criticism"
142624,"homosexual tradition in American poetry",811.00935,acbk,142624,"Gay men in literature"
142624,"homosexual tradition in American poetry",811.00935,acbk,142624,"Gays writings American History and criticism"
142624,"homosexual tradition in American poetry",811.00935,acbk,142624,"Homosexuality and literature United States"
143071,"Three gay tales from Grimm",398,jcbk,143071,"Fairy tales"
143071,"Three gay tales from Grimm",398,jcbk,143071,"Fairy tales Germany"
143071,"Three gay tales from Grimm",398,jcbk,143071,"Folklore Germany"
146173,"Gay monarch the life and pleasures of Edward VII",,acbk,146173,"Edward VII King of Great Britain 1841 1910"
159859,"Straight women gay men a special relationship",306.76,acbk,159859,"Bisexuality United States"
159859,"Straight women gay men a special relationship",306.76,acbk,159859,Friendship
159859,"Straight women gay men a special relationship",306.76,acbk,159859,"Gay men United States"
159859,"Straight women gay men a special relationship",306.76,acbk,159859,"Interpersonal relations"
159859,"Straight women gay men a special relationship",306.76,acbk,159859,"Women United States"
161236,"Tono Bungay",,acbk,161236,
166953,"Vagabond fever a gay journey in the land of the Andes",918,acbk,166953,"South America Description and travel"
169670,"Bedside tales a gay collection",810.8,acbk,169670,
172886,"This gay knight an autobiography of a modern chevalier",,acbk,172886,"Scully Frank 1892 1964"
173786,"Gay Theatre Alliance directory of gay plays",016.812,acbk,173786,"American drama Directories"
173786,"Gay Theatre Alliance directory of gay plays",016.812,acbk,173786,"English drama Directories"
173786,"Gay Theatre Alliance directory of gay plays",016.812,acbk,173786,"Gay men Drama Directories"
173786,"Gay Theatre Alliance directory of gay plays",016.812,acbk,173786,"Gays writings Directories"
177016,"gayety of vision a study of Isak Dinesens art",839.83,acbk,177016,"Dinesen Isak 1885 1962"
178558,"When the New Deal was young and gay",,acbk,178558,"Roosevelt Franklin D Franklin Delano 1882 1945"
178558,"When the New Deal was young and gay",,acbk,178558,"United States Politics and government 1933 1945"
188430,"Lesbian crossroads personal stories of lesbian struggles and triumphs",306.76,acbk,188430,"Lesbians United States Biography"
198629,"Minority stress and lesbian women",306.76,acbk,198629,"Lesbianism United States"
198629,"Minority stress and lesbian women",306.76,acbk,198629,"Lesbians Psychology"
198629,"Minority stress and lesbian women",306.76,acbk,198629,"Power Social sciences"
198629,"Minority stress and lesbian women",306.76,acbk,198629,"Sex discrimination against women"
198868,"Let us be gay a comedy",812,acbk,198868,
214525,"Gayspeak gay male lesbian communication",306.76,acbk,214525,"Deviant behavior Labeling theory"
214525,"Gayspeak gay male lesbian communication",306.76,acbk,214525,"Homosexuality United States"
214525,"Gayspeak gay male lesbian communication",306.76,acbk,214525,"Homosexuality United States Public opinion"
214525,"Gayspeak gay male lesbian communication",306.76,acbk,214525,"Public opinion United States"
214525,"Gayspeak gay male lesbian communication",306.76,acbk,214525,"Symbolism in communication"
216061,"Gay go up",821,jcbk,216061,"Childrens poetry"
239735,"Away to Quebec a gay journey to the province",917.14,acbk,239735,"QuÃ¢Â€Âšbec Province Description and travel"
259066,"Gay and gray the older homosexual man",306.76,acbk,259066,"Gay men United States"
259066,"Gay and gray the older homosexual man",306.76,acbk,259066,"Older people United States"
273876,"Homosexuality a cross cultural approach",176,acbk,273876,Homosexuality
276212,"young duke a moral tale though gay and Count Alarcos a tragedy",,acbk,276212,
290373,"gay Lord Quex a comedy in four acts",822,acbk,290373,
300680,"Sexual politics sexual communities the making of a homosexual minority in the United States 1940 1970",306.76609,acbk,300680,"Gay liberation movement United States History"
307856,"Where Paris dines with information about restaurants of all kinds costly and cheap dignified and gay known and little known and how to enjoy them",914.436,acbk,307856,"Restaurants France Paris"
307856,"Where Paris dines with information about restaurants of all kinds costly and cheap dignified and gay known and little known and how to enjoy them",914.436,acbk,307856,"Wine and wine making France"
331924,"gay twenties a decade of the theatre",792,acbk,331924,"Theater England London History"
347706,"One teenager in ten writings by gay and lesbian youth",306.766,acbk,347706,"Gay teenagers United States Case studies"
354299,"Mae West is dead recent lesbian and gay fiction",,acbk,354299,"Gay men Fiction"
354299,"Mae West is dead recent lesbian and gay fiction",,acbk,354299,"Gays writings"
354299,"Mae West is dead recent lesbian and gay fiction",,acbk,354299,"Lesbians Fiction"
354299,"Mae West is dead recent lesbian and gay fiction",,acbk,354299,"Lesbians writings"
354299,"Mae West is dead recent lesbian and gay fiction",,acbk,354299,"Short stories American"
354299,"Mae West is dead recent lesbian and gay fiction",,acbk,354299,"Short stories English"
374489,"Another mother tongue gay words gay worlds",306.766,acbk,374489,"Homosexuality Miscellanea"
374489,"Another mother tongue gay words gay worlds",306.766,acbk,374489,"Homosexuality Terminology"
374489,"Another mother tongue gay words gay worlds",306.766,acbk,374489,"Lesbianism Miscellanea"
374489,"Another mother tongue gay words gay worlds",306.766,acbk,374489,"Lesbians United States Psychology"
374489,"Another mother tongue gay words gay worlds",306.766,acbk,374489,"Life style United States Miscellanea"
382995,"Gay plays",822.914,acbk,382995,"English drama 20th century"
382995,"Gay plays",822.914,acbk,382995,"Gay men Drama"
382995,"Gay plays",822.914,acbk,382995,"Gay mens writings English"
387587,"Lesbian nuns breaking silence",255.90088,acbk,387587,"Lesbian nuns United States Biography"
390710,"Immodest acts the life of a lesbian nun in Renaissance Italy",,acbk,390710,"Carlini Benedetta"
390710,"Immodest acts the life of a lesbian nun in Renaissance Italy",,acbk,390710,"Lesbian nuns Italy Biography"
390710,"Immodest acts the life of a lesbian nun in Renaissance Italy",,acbk,390710,"Lesbianism History"
390710,"Immodest acts the life of a lesbian nun in Renaissance Italy",,acbk,390710,"Lesbians Attitudes"
390710,"Immodest acts the life of a lesbian nun in Renaissance Italy",,acbk,390710,"Women Sexual behavior History"
393327,"Beyond rejection the Church homosexuality and hope",261.83576,acbk,393327,"Homosexuality Religious aspects Christianity"
400595,"Gaylen Hansen the paintings of a decade 1975 1985",759.13,acbk,400595,"Hansen Gaylen C 1921 Exhibitions"
401223,"Nua duong gay cÃ‚Â nh truyen dÃ¢Â€Â¦i",895.9223,acbk,401223,"Vietnam War 1961 1975 Fiction"
401223,"Nua duong gay cÃ‚Â nh truyen dÃ¢Â€Â¦i",895.9223,acbk,401223,"Vietnamese Conflict 1961 1975 Fiction"
406402,"Male homosexuality in four societies Brazil Guatemala the Philippines and the United States",306.7662,acbk,406402,"Male homosexuality Cross cultural studies"
406402,"Male homosexuality in four societies Brazil Guatemala the Philippines and the United States",306.7662,acbk,406402,"Transvestism Cross cultural studies"
408434,"gentleman from Maryland the conscience of a gay conservative",,acbk,408434,"Bauman Robert 1937"
408434,"gentleman from Maryland the conscience of a gay conservative",,acbk,408434,"Gay men Washington D C Biography"
408434,"gentleman from Maryland the conscience of a gay conservative",,acbk,408434,"Legislators United States Biography"
408434,"gentleman from Maryland the conscience of a gay conservative",,acbk,408434,"Politicians United States Biography"
410681,"Naming the violence speaking out about lesbian battering",306.7663,acbk,410681,"Abused lesbians United States"
410681,"Naming the violence speaking out about lesbian battering",306.7663,acbk,410681,"Lesbians United States Psychology"
414047,"Gay priest an inner journey",283.3,acbk,414047,"Anglican Communion United States Clergy Biography"
414047,"Gay priest an inner journey",283.3,acbk,414047,"Boyd Malcolm 1923 2015"
414047,"Gay priest an inner journey",283.3,acbk,414047,"Episcopal Church Clergy Biography"
414047,"Gay priest an inner journey",283.3,acbk,414047,"Gay clergy United States Biography"
414047,"Gay priest an inner journey",283.3,acbk,414047,"Homosexuality Religious aspects Christianity"
433521,"Spartacus suite Gayaneh suite",,acrec,433521,"Ballets Excerpts"
433521,"Spartacus suite Gayaneh suite",,acrec,433521,"Suites Orchestra"
433868,"rise of a gay and lesbian movement",306.76609,acbk,433868,"Gay liberation movement History"
433868,"rise of a gay and lesbian movement",306.76609,acbk,433868,"Homosexuality History"
