title,deweyClass
"Get on with it the gay and lesbian guide to getting online",004.67808
"Top 250 LGBTQ books for teens coming out being out and the search for community",016.30676
"Gay lesbian bisexual and transgendered literature a genre guide",016.8108
"Lesbian and gay voices an annotated bibliography and guide to literature for children and young adults",016.8108
"Gay Theatre Alliance directory of gay plays",016.812
"Daring to find our names the search for lesbigay library history",020.8663
"Liberating minds the stories and professional lives of gay lesbian and bisexual librarians and their advocates",020.8663
"Harvey Milk Institute guide to lesbian gay bisexual transgender and queer internet research",025.04086
"gay canon great books every gay man should read",028.90866
"Dancing on the volcano",070.444
"Murder the media and the politics of public feelings remembering Matthew Shepard and James Byrd Jr",070.44936
"Indecent advances a hidden history of true crime and prejudice before Stonewall",070.44936
"silent season of a hero the sports writing of Gay Talese",070.44979
"Indomitable the life of Barbara Grier",070.5092
"journalist of Castro Street the life of Randy Shilts",070.92
"Life in every breath Ester Blenda reporter adventurer pioneer",070.92
"Intolerable a memoir of extremes",070.92
"queer art of failure",121
"Queer hauntings true tales of gay lesbian ghosts",133.10866
"Gay witchcraft empowering the tribe",133.43086
"Gay astrology the complete relationship guide for gay men",133.50866
"Queer cosmos the astrology of queer identities relationships",133.58306
"Were here an investigation into gay reincarnation",133.90135
"Evelyn Hooker and the fairy project",150.92
"Radical belonging how to survive and thrive in an unjust world while transforming it for the better",155.2
"Together forever the gay mans guide to lifelong love",155.3
"Becoming gay the journey to self acceptance",155.3
"Working with transgender young people and their families a critical developmental approach",155.33
"Becoming an ally to the gender expansive child a guide for parents and carers",155.33
"Uncharted lives the psychological journey of gay men",155.34
"practice of love lesbian sexuality and perverse desire",155.34
"Lesbian gay and bisexual identities over the lifespan psychological perspectives",155.34
"Dynamic duos the alpha beta key to unlocking success in gay relationships",155.34
"Being homosexual gay men and their development",155.34
"HIV negative how the uninfected are affected by AIDS",155.916
"In the shadow of the epidemic being HIV negative in the age of AIDS",155.91608
"At the center of all beauty solitude and the creative life",155.92
"Landscape without gravity a memoir of grief",155.937
"Growth and intimacy for gay men a workbook",158.08664
"Break up or break through a spiritual guide to richer relationships",158.2
"Making sense of intersex changing ethical perspectives in biomedicine",174.29669
"Sappho was a right on woman a liberated view of lesbianism",176
"high priesthood of being gay an ontology",176
"love that dared not speak its name a candid history of homosexuality in Britain",176
"Straight a heterosexual talks about his homosexual past",176
"Boys of Boise furor vice and folly in an American city",176
"gay militants",176
"Lesbian images",176
"best little boy in the world",176
"Bisexual living",176
"On being different what it means to be a homosexual",176
"sixth man",176
"Homosexuality a cross cultural approach",176
"Normal family on truth love and how I met my 35 siblings",176.2092
"Whats wrong with homosexuality",176.4
"Foucault in Warsaw",194
"Gay believers homosexuality and religion",200.8664
"Reclaiming the spirit gay men and lesbians come to terms with religion",200.8664
"Unrepentant self affirming practicing lesbian bisexual gay people within organized religion",200.8664
"Sex and the sacred gay identity and spiritual growth",200.8664
Homecoming,201
"Transcending trans Buddhist voices",201.7
"Soulfully gay how Harvard sex drugs and integral philosophy drove me crazy and brought me back to God",204.092
"Coming out coming home making room for gay spirituality in therapy",204.40866
"Religion and sexuality",205.66
"Taking a chance on God liberating theology for gays lesbians and their lovers families and friends with a new preface",208.664
"Just as I am a practical guide to being out proud and Christian",208.664
"Homosexual no more",208.664
"For the Bible tells me so",220.60866
"Corpus Christi",220.60866
"Transgender intersex and Biblical Interpretation",220.83067
"gay gospels good news for LGBT people",220.83067
"Torah queeries weekly commentaries on the Hebrew Bible",222.10708
"Queer virtue what LGBTQ people know about life and love and how it can revitalize Christianity",230.08664
"Radical love an introduction to queer theology",230.08664
"truth about same sex marriage 6 things you need to know about whats really at stake",241.63
"Bibles yes to same sex marriage an evangelicals change of heart",241.63
"God believes in love straight talk about gay marriage",241.63
"Jesus the Bible and homosexuality explode the myths heal the church",241.66
"preachers son",241.66
"God and gays bridging the gap",241.66
"Straight narrow compassion clarity in the homosexuality debate",241.66
"Riding wild horses home a conservative Christian apology",241.66
"Sex and the church gender homosexuality and the transformation of Christian ethics",241.66
