distinct_bib,subject,title,itemtype,deweyClass,out_bib
3462,"Gay men Family relationships","My father myself",acbk,,3462
8391,Homosexuality,"On being different what it means to be a homosexual",acbk,176,8391
11779,"Staveley Gaylord","Broken waters sing rediscovering two great rivers of the West",acbk,917.91,11779
11847,"Hiligaynon language Textbooks for foreign speakers English","Hiligaynon lessons",acbk,499.21,11847
25689,"Gay men Fiction",Fadeout,acbk,,25689
32417,"Gay men Drama","Coming out a documentary play about gay life liberation in the U S A",acbk,812.54,32417
35071,"Perry Gaylord 1938","Me and the spitter an autobiographical confession",acbk,796.357,35071
38748,Lesbianism,"Lesbian images",acbk,176,38748
38748,"Lesbians Biography","Lesbian images",acbk,176,38748
38748,"Lesbians in literature","Lesbian images",acbk,176,38748
38748,"Lesbians writings History and criticism","Lesbian images",acbk,176,38748
40594,"Bisexuality Case studies","Bisexual living",acbk,176,40594
49814,"Gay men Poetry","male muse a gay anthology",acbk,821.08,49814
49814,"Gays writings American","male muse a gay anthology",acbk,821.08,49814
49814,"Gays writings English","male muse a gay anthology",acbk,821.08,49814
54595,"Homosexuality in motion pictures","Screening the sexes homosexuality in the movies",acbk,792.7,54595
61471,Homosexuality,Joy,acbk,248.86,61471
62248,"Homosexuality Great Britain","love that dared not speak its name a candid history of homosexuality in Britain",acbk,176,62248
63100,"Gay liberation movement United States","gay militants",acbk,176,63100
73854,"Gay John 1685 1732 Beggars opera","Gays Beggars opera its content history influence",acbk,782,73854
74993,"Gay poetry","Meditations in an emergency",acbk,811,74993
74993,"Gay poetry","Meditations in an emergency",acbk,811.54,74993
74993,"Gay poetry","Meditations in an emergency poems",acbk,811,74993
83870,"Gay John 1685 1732 Beggars opera","Polly Peachum the story of Lavinia Fenton and The beggars opera",acbk,782,83870
88744,"Gay men United States Biography","Straight a heterosexual talks about his homosexual past",acbk,176,88744
89092,"Gay men Biography","best little boy in the world",acbk,176,89092
91440,"Lesbianism Great Britain","Chase of the wild goose",acbk,,91440
91440,"Lesbians Great Britain Biography","Chase of the wild goose",acbk,,91440
94419,"Church work with gays","church and the homosexual",acbk,261.6,94419
94419,Homosexuality,"church and the homosexual",acbk,261.6,94419
94419,"Homosexuality in the Bible","church and the homosexual",acbk,261.6,94419
95993,"Male homosexuality","Men loving men a gay sex guide and consciousness book",arbk,301.4157,95993
95993,"Sex instruction for gay men","Men loving men a gay sex guide and consciousness book",arbk,301.4157,95993
96832,"Gay men in literature","Playing the game the homosexual novel in America",acbk,813.40935,96832
96832,"Gays writings American History and criticism","Playing the game the homosexual novel in America",acbk,813.40935,96832
96832,"Homosexuality and literature United States","Playing the game the homosexual novel in America",acbk,813.40935,96832
102852,"Gay men Biography","Homosexuals in history a study of ambivalence in society literature and the arts",acbk,301.4157,102852
102852,"Homosexuality Male History","Homosexuals in history a study of ambivalence in society literature and the arts",acbk,301.4157,102852
102852,"Male homosexuality History","Homosexuals in history a study of ambivalence in society literature and the arts",acbk,301.4157,102852
102934,"Lesbians United States Biography",Sita,acbk,,102934
103409,"Gays United States Family relationships","family matter a parents guide to homosexuality",acbk,301.427,103409
103409,"Homosexuality United States","family matter a parents guide to homosexuality",acbk,301.427,103409
