distinct_bib,subject,out_bib,title,itemtype,deweyClass
3462,"Gay men Family relationships",3462,"My father myself",acbk,
8391,Homosexuality,8391,"On being different what it means to be a homosexual",acbk,176
11779,"Staveley Gaylord",11779,"Broken waters sing rediscovering two great rivers of the West",acbk,917.91
11847,"Hiligaynon language Textbooks for foreign speakers English",11847,"Hiligaynon lessons",acbk,499.21
25689,"Gay men Fiction",25689,Fadeout,acbk,
32417,"Gay men Drama",32417,"Coming out a documentary play about gay life liberation in the U S A",acbk,812.54
35071,"Perry Gaylord 1938",35071,"Me and the spitter an autobiographical confession",acbk,796.357
38748,Lesbianism,38748,"Lesbian images",acbk,176
38748,"Lesbians Biography",38748,"Lesbian images",acbk,176
38748,"Lesbians in literature",38748,"Lesbian images",acbk,176
38748,"Lesbians writings History and criticism",38748,"Lesbian images",acbk,176
40594,"Bisexuality Case studies",40594,"Bisexual living",acbk,176
49814,"Gay men Poetry",49814,"male muse a gay anthology",acbk,821.08
49814,"Gays writings American",49814,"male muse a gay anthology",acbk,821.08
49814,"Gays writings English",49814,"male muse a gay anthology",acbk,821.08
54595,"Homosexuality in motion pictures",54595,"Screening the sexes homosexuality in the movies",acbk,792.7
61471,Homosexuality,61471,Joy,acbk,248.86
62248,"Homosexuality Great Britain",62248,"love that dared not speak its name a candid history of homosexuality in Britain",acbk,176
63100,"Gay liberation movement United States",63100,"gay militants",acbk,176
73854,"Gay John 1685 1732 Beggars opera",73854,"Gays Beggars opera its content history influence",acbk,782
74993,"Gay poetry",74993,"Meditations in an emergency",acbk,811
74993,"Gay poetry",74993,"Meditations in an emergency",acbk,811.54
74993,"Gay poetry",74993,"Meditations in an emergency poems",acbk,811
83870,"Gay John 1685 1732 Beggars opera",83870,"Polly Peachum the story of Lavinia Fenton and The beggars opera",acbk,782
88744,"Gay men United States Biography",88744,"Straight a heterosexual talks about his homosexual past",acbk,176
89092,"Gay men Biography",89092,"best little boy in the world",acbk,176
91440,"Lesbianism Great Britain",91440,"Chase of the wild goose",acbk,
91440,"Lesbians Great Britain Biography",91440,"Chase of the wild goose",acbk,
94419,"Church work with gays",94419,"church and the homosexual",acbk,261.6
94419,Homosexuality,94419,"church and the homosexual",acbk,261.6
94419,"Homosexuality in the Bible",94419,"church and the homosexual",acbk,261.6
