YR,MO,NUM_CHECKOUT
2006,1,2726
2006,2,3560
2006,3,4247
2006,4,3311
2006,5,2934
2006,6,5053
2006,7,4924
2006,8,5368
2006,9,4070
2006,10,5077
2006,11,4487
2006,12,3912
2007,1,1694
2007,2,2313
2007,3,4668
2007,4,4759
2007,5,4544
2007,6,4238
2007,7,5378
2007,8,5419
2007,9,5225
2007,10,3384
2007,11,5605
2007,12,5541
2008,1,6299
2008,2,6017
2008,3,6505
2008,4,5909
2008,5,6308
2008,6,6624
2008,7,7480
2008,8,7139
2008,9,6946
2008,10,7067
2008,11,5712
2008,12,7022
2009,1,7778
2009,2,6727
2009,3,8001
2009,4,6860
2009,5,7687
2009,6,8017
2009,7,7824
2009,8,8175
2009,9,5674
2009,10,7362
2009,11,7419
2009,12,7299
2010,1,7422
2010,2,6503
2010,3,7378
2010,4,6637
2010,5,6506
2010,6,6697
2010,7,6673
2010,8,6521
2010,9,5225
2010,10,6215
2010,11,6208
2010,12,6778
2011,1,6992
2011,2,6133
2011,3,6916
2011,4,6480
2011,5,6230
2011,6,6699
2011,7,6650
2011,8,6110
2011,9,4899
2011,10,5658
2011,11,5402
2011,12,5703
2012,1,5347
2012,2,5314
2012,3,5986
2012,4,5590
2012,5,5923
2012,6,6033
2012,7,6647
2012,8,5408
2012,9,4986
2012,10,5643
2012,11,5495
2012,12,5305
2013,1,5819
2013,2,5026
2013,3,5486
2013,4,5210
2013,5,4933
2013,6,5826
2013,7,5703
2013,8,5552
2013,9,5427
2013,10,5656
2013,11,5355
2013,12,5281
2014,1,5604
2014,2,5155
2014,3,5825
2014,4,5561
2014,5,5757
2014,6,6355
2014,7,6313
2014,8,6395
2014,9,6046
2014,10,5961
2014,11,5612
2014,12,5452
2015,1,5375
2015,2,5182
2015,3,5894
2015,4,6039
2015,5,5943
2015,6,6611
2015,7,6905
2015,8,6203
2015,9,6042
2015,10,5775
2015,11,5823
2015,12,5499
2016,1,5906
2016,2,5587
2016,3,6165
2016,4,6066
2016,5,6308
2016,6,6888
2016,7,6506
2016,8,6464
2016,9,6189
2016,10,6147
2016,11,5789
2016,12,5819
2017,1,5928
2017,2,3546
2017,3,6025
2017,4,5418
2017,5,5627
2017,6,5931
2017,7,6507
2017,8,5970
2017,9,5858
2017,10,5413
2017,11,4805
2017,12,4181
2018,3,2327
2018,4,6202
2018,5,6107
2018,6,7888
2018,7,7601
2018,8,5035
2018,9,1537
2018,10,6322
2018,11,6059
2018,12,6000
2019,1,6350
2019,2,5709
2019,3,6161
2019,4,6098
2019,5,6391
2019,6,8333
2019,7,7177
2019,8,6454
2019,9,5523
2019,10,6007
2019,11,7556
2019,12,6912
2020,1,7619
2020,2,5301
2020,3,4837
2020,4,1
2020,5,12
2020,7,3
2020,8,232
2020,9,1306
2020,10,2005
2020,11,2080
2020,12,3478
2021,1,3884
2021,2,3787
2021,3,4269
2021,4,4005
2021,5,3582
2021,6,6266
2021,7,6299
2021,8,6244
2021,9,6534
2021,10,7096
2021,11,7020
2021,12,5768
2022,1,7379
2022,2,6421
2022,3,7139
2022,4,7507
2022,5,8388
2022,6,10801
2022,7,8963
2022,8,9225
2022,9,8046
2022,10,286
2022,11,2233
2022,12,7736
2023,1,6870
