YR,MO,NUM_CHECKOUT_G
2006,1,1493
2006,2,1970
2006,3,2269
2006,4,1866
2006,5,1610
2006,6,2957
2006,7,2935
2006,8,3121
2006,9,2314
2006,10,2979
2006,11,2561
2006,12,2345
2007,1,998
2007,2,1431
2007,3,2841
2007,4,2946
2007,5,2701
2007,6,2553
2007,7,3183
2007,8,3322
2007,9,2987
2007,10,1959
2007,11,3448
2007,12,3383
2008,1,3822
2008,2,3623
2008,3,3893
2008,4,3448
2008,5,3717
2008,6,3824
2008,7,4355
2008,8,4198
2008,9,3966
2008,10,4035
2008,11,3251
2008,12,3913
2009,1,4380
2009,2,3911
2009,3,4613
2009,4,3967
2009,5,4573
2009,6,4623
2009,7,4456
2009,8,4738
2009,9,3301
2009,10,4170
2009,11,4308
2009,12,4320
2010,1,4471
2010,2,3895
2010,3,4352
2010,4,3906
2010,5,3829
2010,6,3872
2010,7,3893
2010,8,3845
2010,9,3144
2010,10,3800
2010,11,3750
2010,12,4010
2011,1,4094
2011,2,3632
2011,3,4107
2011,4,3635
2011,5,3461
2011,6,3598
2011,7,3633
2011,8,3378
2011,9,2723
2011,10,3169
2011,11,3012
2011,12,3432
2012,1,3263
2012,2,3274
2012,3,3750
2012,4,3498
2012,5,3561
2012,6,3586
2012,7,3999
2012,8,3267
2012,9,3047
2012,10,3503
2012,11,3368
2012,12,3214
2013,1,3466
2013,2,3035
2013,3,3376
2013,4,3290
2013,5,3025
2013,6,3521
2013,7,3442
2013,8,3373
2013,9,3485
2013,10,3650
2013,11,3395
2013,12,3375
2014,1,3541
2014,2,3070
2014,3,3411
2014,4,3247
2014,5,3377
2014,6,3698
2014,7,3570
2014,8,3609
2014,9,3500
2014,10,3406
2014,11,3302
2014,12,3319
2015,1,3377
2015,2,3274
2015,3,3773
2015,4,4033
2015,5,4010
2015,6,4292
2015,7,4422
2015,8,4083
2015,9,3926
2015,10,3698
2015,11,3757
2015,12,3607
2016,1,3782
2016,2,3401
2016,3,3577
2016,4,3236
2016,5,3286
2016,6,3480
2016,7,3402
2016,8,3290
2016,9,3240
2016,10,3191
2016,11,3032
2016,12,3150
2017,1,3282
2017,2,1886
2017,3,3287
2017,4,2965
2017,5,2944
2017,6,3125
2017,7,3364
2017,8,3234
2017,9,3190
2017,10,3018
2017,11,2620
2017,12,2235
2018,3,1435
2018,4,3704
2018,5,3693
2018,6,4702
2018,7,4689
2018,8,3021
2018,9,924
2018,10,3897
2018,11,3625
2018,12,3657
2019,1,3962
2019,2,3475
2019,3,3726
2019,4,3646
2019,5,3660
2019,6,4810
2019,7,4195
2019,8,3673
2019,9,3151
2019,10,3239
2019,11,4109
2019,12,3644
2020,1,3998
2020,2,2844
2020,3,2311
2020,4,1
2020,5,10
2020,7,2
2020,8,98
2020,9,696
2020,10,877
2020,11,995
2020,12,1304
2021,1,1646
2021,2,1967
2021,3,2086
2021,4,1931
2021,5,1721
2021,6,3126
2021,7,3053
2021,8,3031
2021,9,3449
2021,10,3928
2021,11,3879
2021,12,3259
2022,1,4046
2022,2,3472
2022,3,3764
2022,4,4080
2022,5,4598
2022,6,5357
2022,7,4287
2022,8,4282
2022,9,3737
2022,10,170
2022,11,1140
2022,12,3773
2023,1,3488
