YR,MO,NUM_CHECKOUT_L
2006,1,702
2006,2,925
2006,3,1176
2006,4,848
2006,5,715
2006,6,1199
2006,7,1187
2006,8,1341
2006,9,1046
2006,10,1262
2006,11,1159
2006,12,874
2007,1,377
2007,2,512
2007,3,1052
2007,4,1058
2007,5,1133
2007,6,988
2007,7,1242
2007,8,1195
2007,9,1254
2007,10,835
2007,11,1283
2007,12,1319
2008,1,1482
2008,2,1416
2008,3,1470
2008,4,1374
2008,5,1459
2008,6,1558
2008,7,1639
2008,8,1545
2008,9,1540
2008,10,1511
2008,11,1268
2008,12,1588
2009,1,1668
2009,2,1350
2009,3,1742
2009,4,1538
2009,5,1581
2009,6,1679
2009,7,1710
2009,8,1710
2009,9,1158
2009,10,1611
2009,11,1576
2009,12,1491
2010,1,1503
2010,2,1362
2010,3,1550
2010,4,1374
2010,5,1337
2010,6,1409
2010,7,1352
2010,8,1319
2010,9,1030
2010,10,1136
2010,11,1200
2010,12,1445
2011,1,1469
2011,2,1307
2011,3,1487
2011,4,1494
2011,5,1426
2011,6,1592
2011,7,1647
2011,8,1460
2011,9,1172
2011,10,1339
2011,11,1305
2011,12,1265
2012,1,1104
2012,2,1088
2012,3,1187
2012,4,1096
2012,5,1288
2012,6,1279
2012,7,1357
2012,8,1133
2012,9,1006
2012,10,1108
2012,11,1103
2012,12,1114
2013,1,1262
2013,2,989
2013,3,1079
2013,4,987
2013,5,982
2013,6,1141
2013,7,1083
2013,8,1072
2013,9,926
2013,10,1011
2013,11,1063
2013,12,1069
2014,1,1144
2014,2,1140
2014,3,1385
2014,4,1368
2014,5,1373
2014,6,1465
2014,7,1492
2014,8,1499
2014,9,1398
2014,10,1336
2014,11,1148
2014,12,1074
2015,1,1024
2015,2,972
2015,3,1113
2015,4,1065
2015,5,1058
2015,6,1199
2015,7,1269
2015,8,1095
2015,9,1083
2015,10,1066
2015,11,1039
2015,12,980
2016,1,1047
2016,2,1153
2016,3,1384
2016,4,1382
2016,5,1479
2016,6,1585
2016,7,1505
2016,8,1574
2016,9,1435
2016,10,1350
2016,11,1284
2016,12,1247
2017,1,1256
2017,2,762
2017,3,1232
2017,4,1040
2017,5,1223
2017,6,1264
2017,7,1388
2017,8,1134
2017,9,1110
2017,10,988
2017,11,963
2017,12,832
2018,3,366
2018,4,1046
2018,5,1034
2018,6,1355
2018,7,1305
2018,8,929
2018,9,279
2018,10,1166
2018,11,1070
2018,12,1107
2019,1,1170
2019,2,1010
2019,3,1154
2019,4,1099
2019,5,1184
2019,6,1540
2019,7,1348
2019,8,1288
2019,9,1236
2019,10,1406
2019,11,2059
2019,12,1952
2020,1,2138
2020,2,1379
2020,3,1526
2020,5,2
2020,7,1
2020,8,85
2020,9,387
2020,10,666
2020,11,715
2020,12,1393
2021,1,1412
2021,2,1096
2021,3,1273
2021,4,1127
2021,5,1092
2021,6,1829
2021,7,1906
2021,8,1987
2021,9,1914
2021,10,1788
2021,11,1609
2021,12,1289
2022,1,1755
2022,2,1576
2022,3,1776
2022,4,1797
2022,5,2022
2022,6,2749
2022,7,2561
2022,8,2686
2022,9,2230
2022,10,65
2022,11,588
2022,12,2031
2023,1,1833
