YR,MO,NUM_CHECKOUT_T
2007,9,2
2007,10,1
2007,11,1
2007,12,3
2008,1,2
2008,2,2
2008,3,18
2008,4,21
2008,5,25
2008,6,26
2008,7,65
2008,8,80
2008,9,130
2008,10,120
2008,11,91
2008,12,88
2009,1,121
2009,2,104
2009,3,120
2009,4,80
2009,5,109
2009,6,125
2009,7,118
2009,8,101
2009,9,81
2009,10,104
2009,11,101
2009,12,121
2010,1,86
2010,2,80
2010,3,108
2010,4,85
2010,5,108
2010,6,112
2010,7,128
2010,8,104
2010,9,94
2010,10,94
2010,11,112
2010,12,117
2011,1,131
2011,2,89
2011,3,112
2011,4,107
2011,5,142
2011,6,134
2011,7,125
2011,8,131
2011,9,89
2011,10,108
2011,11,146
2011,12,68
2012,1,109
2012,2,76
2012,3,109
2012,4,90
2012,5,100
2012,6,106
2012,7,100
2012,8,82
2012,9,116
2012,10,82
2012,11,93
2012,12,97
2013,1,129
2013,2,83
2013,3,108
2013,4,92
2013,5,114
2013,6,121
2013,7,183
2013,8,175
2013,9,120
2013,10,133
2013,11,148
2013,12,111
2014,1,155
2014,2,263
2014,3,317
2014,4,280
2014,5,261
2014,6,266
2014,7,372
2014,8,351
2014,9,301
2014,10,372
2014,11,326
2014,12,323
2015,1,248
2015,2,301
2015,3,275
2015,4,235
2015,5,194
2015,6,391
2015,7,357
2015,8,309
2015,9,292
2015,10,351
2015,11,355
2015,12,287
2016,1,353
2016,2,392
2016,3,616
2016,4,883
2016,5,948
2016,6,1023
2016,7,968
2016,8,944
2016,9,893
2016,10,1001
2016,11,900
2016,12,878
2017,1,848
2017,2,534
2017,3,876
2017,4,879
2017,5,902
2017,6,904
2017,7,1068
2017,8,921
2017,9,880
2017,10,742
2017,11,662
2017,12,585
2018,3,284
2018,4,757
2018,5,695
2018,6,943
2018,7,829
2018,8,571
2018,9,199
2018,10,593
2018,11,709
2018,12,634
2019,1,585
2019,2,594
2019,3,622
2019,4,663
2019,5,791
2019,6,1013
2019,7,836
2019,8,757
2019,9,517
2019,10,728
2019,11,803
2019,12,770
2020,1,895
2020,2,607
2020,3,561
2020,8,32
2020,9,128
2020,10,260
2020,11,206
2020,12,554
2021,1,557
2021,2,441
2021,3,636
2021,4,630
2021,5,493
2021,6,820
2021,7,753
2021,8,681
2021,9,642
2021,10,715
2021,11,733
2021,12,640
2022,1,804
2022,2,754
2022,3,919
2022,4,940
2022,5,1009
2022,6,1541
2022,7,1106
2022,8,1156
2022,9,1035
2022,10,24
2022,11,282
2022,12,989
2023,1,792
