bibNumber,title,deweyClass
2202377,"Its itchcraft",
492590,"Crafty Chameleon",
2294798,"Vindication a life of Mary Wollstonecraft",
2294459,"Murder most crafty",
1981406,"Mary Wollstonecraft a revolutionary life",
2166300,"Tales of H P Lovecraft major works",
2208393,"H P Lovecraft master of weird fiction",
2338777,"ILLM WITCHCRAFT OUT OF THE SHADOWS",
1909462,"More annotated H P Lovecraft",
2266094,"best of H P Lovecraft bloodcurdling tales of horror and the macabre",
2120000,"Haxan Witchcraft through the ages",
1842318,"Small craft warnings stories",
1861791,"sub a study in witchcraft",
2342245,"ILLM PERSISTENCE OF CRAFT THE APPLIED ARTS TODAY",
2342268,"ILLM MODEL AIRCRAFT AERODYNAMICS",
2342469,"ILLM The roebuck in the thicket an anthology of the Robert Cochrane witchcraft tradition",
2342581,"ILLM Best of FamilyFun crafts boredom busters",
1846406,Wildcrafters,
2110610,"annotated H P Lovecraft",
2343920,"ILLM Junkers aircraft and engines 1913 1945",
2343922,"ILLM Designing handcrafted cards step by step techniques for crafting 60 beautiful cards paper quilling decorative cutting piercing embossing folding layering weaving and more",
2343925,"ILLM Sell your crafts on eBay more than 200 tactics tips and tricks to profit with your art and craft items from eBays millions of buyers everyday",
2343945,"ILLM U S ARMY SHIPS AND WATERCRAFT",
2085063,"hint of witchcraft",
2085032,Witchcraft,
2346111,"ILLM Car craft",
2046130,"Her own woman the life of Mary Wollstonecraft",
2100789,"Pearls passover a family celebration through stories recipes crafts and songs",
2347744,"ILLM U S Army ships and watercraft of World War II",
14085,"circle of witches an anthology of Victorian witchcraft stories",
2348598,"ILLM 1000 ornamental designs for artists and craftspeople",
278635,"50 secrets of magic craftsmanship",
2348877,"ILLM H P Lovecraft a life",
63424,"plant lore garden craft of Shakespeare",
2350537,"ILLM Seasonal storytime crafts",
1967809,"hint of witchcraft",
141305,"AntonÃ‚Â¡n DvorÃ‚Â k musician and craftsman",
2354832,"ILLM Craft to heal soothing your soul with sewing painting and other crafts",
2198791,"Rotorcraft flying handbook",
763536,"Home craftsman",
2359368,"ILLM Ship of state statecraft and politics from ancient Greece to democratic America",
2359454,"ILLM Understanding mathematics for aircraft navigation",
2357353,"ILLM Crafting and implementing strategy text and readings",
2359915,"ILLM Craft of comedy an exchange of letters on comedy acting techniques with Stephen Haggard",
2361111,"ILLM FamilyFun crafts",
568905,"Lovecrafts legacy",
2358903,"ILLM Hand of a craftsman the woodcut technique of Gustave Baumann",
2363337,"ILLM Dialogue techniques and exercises for crafting effective dialogue",
2363723,"ILLM Doubleday large print needlecraft book",
120851,"Collected letters of Mary Wollstonecraft",
2146436,"Lovecraft at last",
2368511,"ILLM Ethics and statecraft the moral dimension of international affairs",
2374647,"ILLM Art and craft of lettering",
40474,"Lovecraft at last",
