barcode,itemNumber,title,cout,deweyClass,bibNumber,collcode,callNumber
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2006-04-20 18:45:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2006-06-07 17:54:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2007-04-14 15:57:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2007-08-23 11:05:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2007-12-04 16:12:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-01-17 16:00:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-02-19 13:28:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-09-17 11:29:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-10-27 15:25:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-12-10 15:52:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2009-01-14 17:56:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2009-11-10 18:35:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2011-01-12 13:16:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2011-03-19 17:32:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2011-08-25 17:52:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2012-06-05 14:52:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2012-09-29 12:45:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2013-01-12 12:24:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2013-04-28 13:42:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2013-05-30 19:22:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2013-06-10 13:20:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2013-10-08 14:56:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2014-01-18 12:05:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2014-09-08 12:02:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2014-10-19 13:25:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2014-12-05 10:31:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2015-04-17 11:20:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2015-08-18 19:14:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2015-11-06 12:50:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2016-01-04 14:00:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2016-01-31 13:17:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2016-04-17 14:10:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2016-07-22 10:46:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2016-11-16 19:06:00",746,119652,cs8,"746 M446F"
0010084219012,354125,"Fiber arts macrame crochet wrapping coiling weaving","2016-12-08 11:42:00",746,119652,cs8,"746 M446F"
