cout,count
1970-01-01,1
1996-10-14,1
2000-05-13,1
2001-03-14,1
2005-02-14,1
2005-02-27,1
2005-03-26,1
2005-04-04,1
2005-05-03,1
2005-05-07,4
2005-05-16,1
2005-06-02,1
2005-06-22,1
2005-07-18,1
2005-07-20,1
2005-09-01,1
2005-09-06,1
2005-09-10,1
2005-09-23,1
2005-10-06,1
2005-10-08,1
2005-10-14,1
2005-10-15,1
2005-10-16,1
2005-10-17,1
2005-10-18,1
2005-10-20,1
2005-10-24,4
2005-10-25,1
2005-10-26,4
2005-10-27,1
2005-10-29,1
2005-10-31,1
2005-11-01,1
2005-11-04,1
2005-11-07,1
2005-11-09,1
2005-11-10,4
2005-11-12,1
2005-11-14,1
2005-11-16,1
2005-11-17,1
2005-11-18,1
2005-11-19,16
2005-11-20,1
2005-11-21,1
2005-11-22,9
2005-11-23,1
2005-11-25,25
2005-11-26,4
2005-11-27,1
2005-11-28,1
2005-11-29,36
2005-11-30,9
2005-12-01,9
2005-12-02,4
2005-12-03,4
2005-12-04,1
2005-12-05,16
2005-12-06,9
2005-12-07,4
2005-12-08,9
2005-12-09,4
2005-12-12,4
2005-12-13,36
2005-12-14,36
2005-12-15,4
2005-12-16,16
2005-12-17,16
2005-12-19,36
2005-12-20,9
2005-12-21,4
2005-12-22,16
2005-12-23,36
2005-12-26,16
2005-12-27,1
2005-12-28,9
2005-12-29,100
2005-12-30,36
2005-12-31,4
2006-01-03,121
2006-01-04,144
2006-01-05,49
2006-01-06,49
2006-01-07,9
2006-01-08,4
2006-01-09,16
2006-01-10,121
2006-01-11,49
2006-01-12,9
2006-01-13,49
2006-01-14,121
2006-01-15,4
2006-01-17,49
2006-01-18,25
2006-01-19,25
2006-01-20,1
2006-01-21,100
2006-01-22,1
2006-01-23,9
2006-01-24,25
2006-01-25,64
2006-01-26,100
2006-01-27,81
2006-01-28,100
2006-01-30,144
2006-01-31,9
2006-02-01,25
2006-02-02,64
2006-02-03,36
2006-02-04,4
2006-02-06,4
2006-02-07,49
2006-02-08,81
2006-02-09,100
2006-02-10,9
2006-02-11,16
2006-02-12,1
