barcode,itemNumber,title,cout,cin,deweyClass,bibNumber,collcode,callNumber
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2005-11-30 13:32:00","2006-04-17 12:00:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2005-11-30 13:32:00","2006-02-28 16:30:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2005-11-30 13:32:00","2006-04-14 16:18:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2006-04-20 18:45:00","2006-05-31 12:19:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2006-04-20 18:45:00","2006-06-01 13:50:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2006-09-11 15:49:00","2007-04-12 11:47:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2006-09-11 15:49:00","2006-12-11 12:37:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2007-04-14 15:57:00","2007-08-20 15:43:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2007-04-14 15:57:00","2007-05-01 18:30:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2007-04-14 15:57:00","2007-08-18 16:27:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2007-08-23 11:05:00","2007-11-30 10:35:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2007-12-04 16:12:00","2008-01-12 13:34:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2007-12-04 16:12:00","2007-12-13 16:50:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2007-12-04 16:12:00","2008-01-14 11:57:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-01-17 16:00:00","2008-02-11 09:33:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-01-17 16:00:00","2008-01-25 15:47:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-02-19 13:28:00","2008-09-15 14:30:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-02-19 13:28:00","2008-05-20 13:29:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-09-17 11:29:00","2008-10-16 16:55:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-10-17 11:47:00","2008-10-17 11:47:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-10-27 15:25:00","2008-11-28 13:38:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-10-27 15:25:00","2008-12-02 15:06:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-12-10 15:52:00","2008-12-26 15:48:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-12-10 15:52:00","2009-01-14 13:19:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2008-12-10 15:52:00","2008-12-23 10:55:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2009-01-14 17:56:00","2009-11-06 10:51:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2009-01-14 17:56:00","2009-11-05 15:22:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2011-01-12 13:16:00","2011-02-28 13:19:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2011-01-12 13:16:00","2011-03-12 10:55:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2011-03-19 17:32:00","2011-08-25 10:12:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2011-08-25 17:52:00","2011-10-08 17:26:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2012-06-05 14:52:00","2012-06-20 16:24:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2013-01-12 12:24:00","2013-01-17 19:15:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2013-06-10 13:20:00","2013-06-11 15:38:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2013-10-08 14:56:00","2013-10-29 14:30:00",746,119652,cs8,"746 M446F"
0000101711653,354125,"Fiber arts macrame crochet wrapping coiling weaving","2014-10-19 13:25:00","2014-10-21 14:04:00",746,119652,cs8,"746 M446F"
