cin,count
2006-01-02,100
2006-01-03,36
2006-01-04,196
2006-01-05,49
2006-01-06,81
2006-01-07,36
2006-01-08,4
2006-01-09,144
2006-01-10,64
2006-01-11,25
2006-01-12,64
2006-01-13,49
2006-01-14,25
2006-01-18,1
2006-01-24,49
2006-01-25,121
2006-01-26,121
2006-01-27,25
2006-01-28,1
2006-01-29,1
2006-01-30,196
2006-01-31,100
2006-02-01,36
2006-02-02,9
2006-02-03,9
2006-02-04,25
2006-02-05,1
2006-02-06,49
2006-02-07,25
2006-02-08,25
2006-02-09,64
2006-02-10,9
2006-02-11,4
2006-02-12,1
2006-02-13,121
2006-02-14,64
2006-02-15,64
2006-02-16,64
2006-02-17,16
2006-02-18,4
2006-02-19,1
2006-02-21,121
2006-02-22,81
2006-02-23,49
2006-02-24,81
2006-02-25,25
2006-02-27,36
2006-02-28,16
2006-03-01,169
2006-03-02,100
2006-03-03,36
2006-03-04,36
2006-03-05,4
2006-03-06,100
2006-03-07,9
2006-03-08,81
2006-03-09,36
2006-03-10,81
2006-03-11,4
2006-03-12,4
2006-03-13,25
2006-03-14,49
2006-03-15,25
2006-03-16,81
2006-03-17,49
2006-03-18,9
2006-03-20,36
2006-03-21,25
2006-03-22,81
2006-03-23,49
2006-03-24,100
2006-03-25,1
2006-03-26,1
2006-03-27,121
2006-03-28,100
2006-03-29,36
2006-03-30,361
2006-03-31,36
2006-04-01,36
2006-04-02,4
2006-04-03,121
2006-04-04,64
2006-04-05,1
2006-04-06,49
2006-04-07,16
2006-04-08,9
2006-04-09,4
2006-04-10,9
2006-04-11,25
2006-04-12,25
2006-04-13,36
2006-04-14,64
2006-04-15,81
2006-04-17,64
2006-04-20,9
2006-04-21,9
2006-04-22,1
2006-04-23,9
2006-04-24,121
2006-04-25,49
2006-04-26,81
2006-04-27,100
2006-04-28,144
2006-04-29,9
2006-04-30,16
2006-05-02,25
2006-05-03,121
2006-05-04,81
2006-05-05,9
2006-05-06,25
2006-05-07,1
2006-05-08,169
2006-05-09,81
2006-05-20,1
2006-05-21,1
2006-05-22,36
2006-05-23,144
2006-05-24,81
2006-05-25,36
2006-05-26,25
2006-05-27,64
2006-05-30,64
2006-05-31,64
2006-06-01,25
2006-06-02,64
2006-06-03,9
2006-06-04,4
2006-06-05,36
2006-06-06,169
2006-06-07,100
2006-06-08,9
2006-06-09,25
2006-06-10,4
2006-06-11,4
2006-06-12,25
2006-06-13,100
2006-06-14,36
2006-06-15,100
2006-06-16,16
2006-06-18,9
2006-06-19,81
2006-06-20,1
2006-06-21,121
2006-06-22,36
2006-06-23,9
2006-06-24,16
2006-06-26,16
2006-06-27,144
2006-06-28,36
2006-06-29,121
2006-06-30,64
2006-07-01,9
2006-07-02,9
2006-07-03,9
2006-07-05,36
2006-07-06,36
2006-07-07,36
2006-07-08,4
2006-07-09,4
2006-07-10,36
2006-07-11,4
2006-07-12,49
2006-07-13,100
2006-07-14,16
2006-07-15,9
2006-07-16,4
2006-07-17,169
2006-07-18,81
2006-07-19,25
2006-07-20,16
2006-07-21,16
2006-07-22,16
2006-07-23,9
2006-07-24,36
2006-07-25,49
2006-07-26,1
2006-07-27,9
2006-07-28,16
2006-07-29,4
2006-07-30,4
2006-07-31,169
2006-08-01,4
2006-08-02,225
2006-08-03,64
2006-08-04,64
2006-08-06,4
2006-08-07,144
2006-08-08,121
2006-08-09,36
2006-08-10,16
